,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
4112,African American,Married,Estate,Female,Single Family Residence,49.0,68511.0,1956.0,0.0
4113,African American,Married,Estate,Female,Single Family Residence,49.0,68511.0,1956.0,0.0
4114,African American,Married,Estate,Female,Single Family Residence,49.0,68511.0,1956.0,0.0
4115,Mediterranean,Unknown,Unknown or not provided,Male,Single Family Residence,54.78437322207472,176933.0,1949.0,17.0
4116,Other,Unknown,Unknown or not provided,Female,Single Family Residence,35.0,289524.0,1942.0,12.0
4117,African American,Separated,Unknown or not provided,Female,Single Family Residence,67.0,59397.0,1983.0,16.0
4118,Other,Married,Unknown or not provided,Female,Single Family Residence,67.0,218675.0,1961.0,23.0
4119,Hispanic,Married,Unknown or not provided,Female,Condominium,33.0,58550.0,2004.0,11.0
4120,East Asian,Married,Unknown or not provided,Female,"Multi-Family Dwellings (Generic, any combination)",49.0,23166000.0,1986.0,5.0
4121,Mediterranean,Married,Unknown or not provided,Male,Condominium,44.0,5057.0,1978.6730014713094,0.0
4122,Western European,Married,Unknown or not provided,Female,Single Family Residence,67.0,373951.0,2002.0,13.0
4123,Western European,Married,Unknown or not provided,Female,Single Family Residence,67.0,373951.0,2002.0,13.0
4124,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4125,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4126,Unknown,Unknown,Unknown or not provided,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,40301300.0,2014.0,11.699925539836187
4127,Jewish,Married,Unknown or not provided,Female,Condominium,43.0,108016.0,2004.0,11.0
4128,African American,Married,Single Man,Female,Single Family Residence,60.0,39292.0,1961.0,23.0
4129,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4130,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4131,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4132,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,1163700.0,1969.0,24.0
4133,Unknown,Unknown,Unknown or not provided,Unknown,Residential - Vacant Land,54.78437322207472,100.0,1978.6730014713094,0.0
4134,East Asian,Married,Company/Corporation/Incorporated,Female,"Multi-Family Dwellings (Generic, any combination)",76.0,58803000.0,1999.0,3.0
4135,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,75592.0,1956.0,23.0
4136,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,"Multi-Family Dwellings (Generic, any combination)",54.78437322207472,1164100.0,1979.0,3.0
4137,Western European,Married,Unknown or not provided,Female,Single Family Residence,59.0,112953.0,1951.0,1.0
4138,Hispanic,Unknown,Company/Corporation/Incorporated,Male,"Multi-Family Dwellings (Generic, any combination)",65.0,1354000.0,1982.0,18.0
4139,Western European,Married,Unknown or not provided,Male,Condominium,29.0,92283.0,1962.0,4.0
4140,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,134354.0,1999.0,17.0
4141,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,54.78437322207472,134354.0,1999.0,17.0
4142,Western European,Married,Unknown or not provided,Female,Single Family Residence,58.0,1014244.0,1979.0,23.0
4143,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,127245.0,1971.0,9.0
4144,Western European,Married,Husband and wife,Female,Single Family Residence,65.0,86403.0,1952.0,9.0
4145,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,100.0,1975.0,15.0
4146,Unknown,Unknown,Unknown or not provided,Unknown,Condominium,54.78437322207472,100.0,1975.0,15.0
4147,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,114500.0,1954.0,19.0
4148,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,114500.0,1954.0,19.0
4149,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,114500.0,1954.0,19.0
4150,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,53005.0,1959.0,2.0
4151,African American,Married,Joint Tenant/Joint Tenant with right of Survivorship,Female,Single Family Residence,86.0,37026.0,1955.0,10.0
4152,Western European,Married,Unknown or not provided,Male,Single Family Residence,78.0,67590.0,1958.0,1.0
4153,Western European,Unknown,Unknown or not provided,Male,Condominium,54.78437322207472,167135.0,2004.0,11.0
4154,Western European,Married,Unknown or not provided,Male,Condominium,60.0,354755.0,2002.0,13.0
4155,Unknown,Unknown,Unknown or not provided,Unknown,Single Family Residence,54.78437322207472,65586.0,1956.0,23.0
4156,Western European,Unknown,Unknown or not provided,Female,Condominium,54.78437322207472,180868.0,1985.0,23.0
4157,Unknown,Unknown,Trust,Unknown,Single Family Residence,54.78437322207472,131855.0,1957.0,3.0
4158,Unknown,Unknown,Trust,Unknown,Single Family Residence,54.78437322207472,131855.0,1957.0,3.0
4159,Unknown,Unknown,Trust,Unknown,Single Family Residence,54.78437322207472,131855.0,1957.0,3.0
4160,Hispanic,Separated,Unknown or not provided,Male,Single Family Residence,68.0,56978.0,1910.0,23.0
