,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
1558,Mediterranean,Single,Unknown or not provided,Male,Condominium,69.0,134129.0,1962.0,23.55586592178771
1559,Western European,Unknown,Unknown or not provided,Female,Cooperative,70.0,566000.0,1939.2222222222222,23.55586592178771
1560,East Asian,Unknown,Unknown or not provided,Male,Cooperative,60.148464163822524,514000.0,1939.2222222222222,23.55586592178771
1561,Western European,Unknown,Unknown or not provided,Male,Condominium,56.0,213627.0,1982.0,23.55586592178771
1562,Western European,Single,Unknown or not provided,Male,Condominium,66.0,238175.0,1988.0,23.55586592178771
1563,Western European,Single,Unknown or not provided,Male,Condominium,53.0,307937.0,1988.0,23.55586592178771
1564,Southeast Asian,Married,Unknown or not provided,Female,Condominium,72.0,457083.0,1982.0,23.55586592178771
1565,Southeast Asian,Married,Unknown or not provided,Female,Condominium,72.0,457083.0,1982.0,23.55586592178771
1566,Unknown,Unknown,Trustee,Unknown,Condominium,60.148464163822524,186767.0,1977.0,23.55586592178771
1567,Western European,Unknown,Unknown or not provided,Female,Condominium,60.148464163822524,348017.0,1984.0,23.55586592178771
1568,Western European,Single,Unknown or not provided,Female,Condominium,76.0,178785.0,1956.0,23.55586592178771
1569,Western European,Married,Unknown or not provided,Male,Cooperative,77.0,2204000.0,1939.2222222222222,23.55586592178771
1570,Other,Married,Unknown or not provided,Female,Single Family Residence,66.0,5452000.0,1901.0,27.0
1571,Western European,Single,Living Trust,Female,Cooperative,68.0,1977000.0,1939.2222222222222,23.55586592178771
1572,Jewish,Unknown,Unknown or not provided,Female,Cooperative,60.148464163822524,1464000.0,1939.2222222222222,23.55586592178771
1573,Western European,Single,Unknown or not provided,Female,Cooperative,84.0,2560000.0,1939.2222222222222,22.0
1574,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,2076000.0,1939.2222222222222,23.55586592178771
1575,Western European,Single,Unknown or not provided,Female,Condominium,50.0,270008.0,1987.0,23.55586592178771
1576,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,60.148464163822524,1675000.0,1939.2222222222222,23.55586592178771
1577,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.148464163822524,2731000.0,1910.0,27.0
1578,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.148464163822524,2731000.0,1910.0,27.0
1579,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.148464163822524,2731000.0,1910.0,27.0
1580,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),60.148464163822524,2731000.0,1910.0,27.0
