,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
172,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
173,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
174,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
175,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
176,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
177,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
178,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
179,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
180,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
181,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
182,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
183,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
184,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
185,Other,Unknown,Unknown or not provided,Female,Single Family Residence,26.0,167824,1986,9.0
186,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
187,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,150409,1973,16.0
188,Western European,Single,Husband and wife,Male,Single Family Residence,48.0,377735,1965,10.0
189,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
190,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
191,Western European,Married,Unknown or not provided,Female,Single Family Residence,76.0,682154,2012,3.0
192,Western European,Married,Husband and wife,Female,Single Family Residence,55.0,771845,1917,20.0
193,Hispanic,Separated,Husband and wife,Female,Single Family Residence,46.0,737847,1995,13.0
194,Western European,Married,Husband and wife,Female,Single Family Residence,55.0,771845,1917,20.0
195,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
196,Western European,Married,Single / Unmarried,Male,Single Family Residence,57.0,4416763,2005,11.0
197,Western European,Single,Unmarried Man,Female,Single Family Residence,45.0,404762,1924,0.0
198,Western European,Married,Unmarried Man,Female,Condominium,70.0,385720,2005,11.64179104477612
199,Western European,Married,Husband and wife,Female,Single Family Residence,60.0,1229018,1997,0.0
200,Hispanic,Separated,Husband and wife,Female,Single Family Residence,46.0,737847,1995,13.0
201,Western European,Married,Husband and wife,Female,Single Family Residence,55.0,1981804,2010,5.0
202,Western European,Married,Husband and wife,Male,Single Family Residence,72.0,1866527,2012,3.0
203,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
204,Western European,Unknown,Husband and wife,Male,Single Family Residence,48.0,719065,1958,24.0
205,Western European,Married,Husband and wife,Female,Single Family Residence,61.0,998630,1926,5.0
206,Western European,Married,Husband and wife,Female,Single Family Residence,47.0,987142,2005,10.0
207,Western European,Married,Husband and wife,Female,Single Family Residence,47.0,987142,2005,10.0
208,Hispanic,Married,Life Estate,Male,Condominium,71.0,98566,2006,9.0
