,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
11477,East Asian,Married,Unknown or not provided,Male,Single Family Residence,69.0,225000.0,1992.0,7.0
11478,Western European,Married,Unknown or not provided,Female,Single Family Residence,94.0,158566.0,1975.0,28.0
11479,East Asian,Married,Unknown or not provided,Female,Single Family Residence,60.0,230102.0,1977.0,28.0
11480,Western European,Unknown,Single Man,Female,Single Family Residence,31.0,162519.0,1977.0,7.0
11481,Other,Married,Unknown or not provided,Female,Single Family Residence,44.0,173900.0,1977.0,29.0
11482,East Asian,Single,Unknown or not provided,Unknown,Single Family Residence,53.0,156225.0,1976.0,28.0
11483,East Asian,Single,Married,Male,Single Family Residence,68.0,165034.0,1977.0,28.0
11484,Western European,Married,Husband and wife,Female,Single Family Residence,47.0,347157.0,1992.0,23.0
11485,Eastern European,Married,Unmarried Man,Male,Single Family Residence,42.0,460000.0,1995.0,21.0
11486,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,60.62957154858583,154363.0,1974.0,28.0
11487,East Asian,Married,Unknown or not provided,Male,Single Family Residence,62.0,338633.0,1995.0,7.0
11488,Western European,Separated,Husband and wife,Female,Single Family Residence,49.0,226677.0,1978.0,28.0
11489,Western European,Married,Unknown or not provided,Female,Single Family Residence,49.0,585000.0,1995.0,21.0
11490,East Asian,Single,Unknown or not provided,Male,Single Family Residence,68.0,345925.0,1996.0,20.0
11491,Other,Married,Unknown or not provided,Male,Single Family Residence,55.0,425000.0,1995.0,7.0
11492,Western European,Unknown,Unknown or not provided,Male,Single Family Residence,33.0,275891.0,1990.0,25.0
11493,Middle Eastern,Married,Husband and wife,Male,Single Family Residence,50.0,521000.0,2001.0,14.0
11494,Southeast Asian,Married,Married Woman,Female,Single Family Residence,67.0,861123.0,1998.0,1.0
11495,East Asian,Unknown,Husband and wife,Male,Single Family Residence,60.62957154858583,290000.0,1996.0,8.0
11496,Western European,Married,Unknown or not provided,Female,Single Family Residence,75.0,202857.0,1976.0,28.0
11497,Western European,Separated,Husband and wife,Female,Single Family Residence,48.0,240400.0,1993.0,22.0
11498,Western European,Married,Unknown or not provided,Female,Single Family Residence,66.0,340000.0,1996.0,20.0
11499,Western European,Married,Husband and wife,Male,Single Family Residence,60.62957154858583,282490.0,1992.0,23.0
11500,Western European,Married,Unknown or not provided,Male,Single Family Residence,67.0,186484.0,1977.0,28.0
11501,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,58.0,232000.0,1975.0,29.0
11502,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11503,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11504,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11505,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11506,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11507,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,51.0,263994.0,1996.0,20.0
11508,Western European,Married,Husband and wife,Male,Single Family Residence,61.0,230000.0,1999.0,7.0
