,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
26184,Hispanic,Unknown,Unknown or not provided,Male,"Duplex (2 units, any combination)",58.477170903599294,498000.0,1914.0,20.0
26185,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,60.0,384000.0,1927.0,22.0
26186,Hispanic,Single,Husband and wife,Female,"Duplex (2 units, any combination)",60.0,684000.0,1924.0,20.0
26187,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,931000.0,1971.0,12.0
26188,Unknown,Unknown,Trustee,Unknown,Apartment house (5+ units),58.477170903599294,675000.0,1962.0,20.0
26189,Hispanic,Unknown,Unknown or not provided,Female,Single Family Residence,58.477170903599294,764000.0,1903.0,18.0
26190,Hispanic,Married,Unknown or not provided,Male,Single Family Residence,33.0,319000.0,1922.0,22.0
26191,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,414000.0,1929.0,9.0
26192,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,913000.0,1944.2155370730843,13.0
26193,Unknown,Unknown,Trust,Unknown,"Triplex (3 units, any combination)",58.477170903599294,578000.0,1932.0,12.0
26194,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,458000.0,1966.0,23.0
26195,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,439000.0,1989.0,20.0
26196,Hispanic,Unknown,Revocable Trust,Unknown,"Triplex (3 units, any combination)",58.477170903599294,445000.0,1930.0,20.0
26197,Unknown,Unknown,Separate Estate/Property,Unknown,Apartment house (5+ units),58.477170903599294,651000.0,1969.0,20.0
26198,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,540000.0,1971.0,0.0
26199,Hispanic,Unknown,Joint Tenant/Joint Tenant with right of Survivorship,Male,"Duplex (2 units, any combination)",58.477170903599294,487000.0,1922.0,20.0
26200,Unknown,Unknown,Trust,Unknown,Apartment house (5+ units),58.477170903599294,1126000.0,1944.2155370730843,2.0
26201,Unknown,Unknown,Revocable Trust,Unknown,Apartment house (5+ units),58.477170903599294,666000.0,1955.0,20.0
26202,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,563000.0,1927.0,1.0
26203,Unknown,Unknown,Unknown or not provided,Unknown,"Duplex (2 units, any combination)",58.477170903599294,500000.0,1940.0,16.0
26204,Hispanic,Unknown,Unknown or not provided,Female,"Duplex (2 units, any combination)",58.477170903599294,720000.0,2006.0,9.0
26205,East Asian,Single,Single Man,Male,"Triplex (3 units, any combination)",58.477170903599294,627000.0,1913.0,20.0
26206,Unknown,Unknown,Limited Partnership,Unknown,Apartment house (5+ units),58.477170903599294,300000.0,1927.0,20.0
26207,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,870000.0,1970.0,20.0
26208,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,840000.0,1982.0,13.0
26209,Unknown,Unknown,Unknown or not provided,Unknown,Apartment house (5+ units),58.477170903599294,965000.0,1954.0,20.0
26210,Unknown,Unknown,Separate Estate/Property,Unknown,Apartment house (5+ units),58.477170903599294,410000.0,1931.0,22.0
26211,Hispanic,Married,Single Man,Female,Single Family Residence,72.0,583000.0,1905.0,20.0
26212,Hispanic,Separated,Husband and wife,Male,"Duplex (2 units, any combination)",58.477170903599294,373000.0,1953.0,17.062327947336925
26213,Hispanic,Unknown,Unknown or not provided,Male,Single Family Residence,58.477170903599294,368000.0,1939.0,20.0
26214,Hispanic,Unknown,Trust,Female,Single Family Residence,58.477170903599294,355000.0,1923.0,23.0
26215,Unknown,Unknown,Company/Corporation/Incorporated,Unknown,Apartment house (5+ units),58.477170903599294,733000.0,1958.0,20.0
26216,Hispanic,Separated,Community Property,Unknown,"Duplex (2 units, any combination)",51.0,439000.0,1966.0,22.0
